chDemoQs,chAQ10,Q_stim,chInstrSlide,ChPage,Demographic_Loop.thisRepN,Demographic_Loop.thisTrialN,Demographic_Loop.thisN,Demographic_Loop.thisIndex,AQ_Loop.thisRepN,AQ_Loop.thisTrialN,AQ_Loop.thisN,AQ_Loop.thisIndex,Q_trials.thisRepN,Q_trials.thisTrialN,Q_trials.thisN,Q_trials.thisIndex,MWdefinitions.thisRepN,MWdefinitions.thisTrialN,MWdefinitions.thisN,MWdefinitions.thisIndex,ReadingLoop.thisRepN,ReadingLoop.thisTrialN,ReadingLoop.thisN,ReadingLoop.thisIndex,Welcome_text.started,Welcome_text_resp.started,Welcome_text_resp.keys,Welcome_text_resp.rt,DemoQs.started,DemographicQs_resp.started,DemographicQs_resp.keys,DemographicQs_resp.rt,textInterval.started,textInterval.stopped,text_4.started,Age_resp.started,AgeQuestion_textbox.text,Age_resp.keys,Age_resp.rt,text_3.started,AQintro_key_resp.started,AQintro_key_resp.keys,AQintro_key_resp.rt,AQ_10.started,AQ_key_resp.started,AQ_key_resp.keys,AQ_key_resp.rt,text_2.started,text_2.stopped,adhdQ.started,key_QA.started,key_QA.keys,key_QA.rt,key_AlwaysResp.keys,adhdDxQ.started,key_Dx.started,key_Dx.keys,key_Dx.rt,MWdefInstr.started,MWdefInstr_key_resp.started,text.started,IntroExp_key_resp.started,IntroExp_key_resp.keys,IntroExp_key_resp.rt,NoSkipping.started,key_Skip.keys,key_Skip.rt,etRecord_START.started,etRecord_START.stopped,Reading_key_resp.started,imagePages.started,PCProbe.started,SCProbe.started,Reading_key_resp.keys,Reading_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,AQ_10_Qs/AQ7.png,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0636176999833,44.0636176999833,1,0.43792570001096465,44.53007710000384,45.047130999999354,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,AQ_10_Qs/AQ8.png,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.047130999999354,45.047130999999354,1,0.6942395999794826,45.76395449999836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,AQ_10_Qs/AQ9.png,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28034579998348,46.28034579998348,1,0.3572520000161603,46.66418209997937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,AQ_10_Qs/AQ10.png,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.20145339998999,47.20145339998999,1,0.3003601999953389,47.530097899987595,48.04548820000491,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,"Do you often feel restless? (e.g., being nervous, having difficulty sitting still, fidgeting, doing a lot of exercise, or being active)",,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.59654490000685,51.0964374000032,48.04548820000491,48.04548820000491,2,2.008746700012125,None,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,"Do you often act first and then think? (e.g., blurting things out, spending too much money, or being impatient)",,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.013812999997754,52.514747299981536,51.0964374000032,51.0964374000032,2,0.39700769999762997,None,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,"Do you often have concentration problems? (e.g., being easily distracted, not finishing things, being easily bored, forgetful, or chaotic)",,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.36286920000566,53.86430909999763,52.514747299981536,52.514747299981536,2,0.3242809999792371,None,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.86430909999763,53.86430909999763,2,0.7980503999860957,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,InstrSlides/SC_s1.png,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,54.68076339998515,55.71428280000691,,,,,,,,,,,,,,,,,,,,,,,,,55.71428280000691,0.03403209999669343,,,,,,,,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,InstrSlides/SC_s2.png,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.397736099985195,0.009021900012157857,,,,,,,,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,InstrSlides/SC_s3.png,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.19813939998858,0.009436899999855086,,,,,,,,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,InstrSlides/SC_s4.png,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.04862200000207,0.00846139999339357,,,,,,,,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,InstrSlides/SC_s5.png,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.097040699998615,0.011318200005916879,,,,,,,,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.348591399990255,62.348591399990255,space,2.1536854000005405,,,,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.53097130000242,space,1.5303917000128422,,,,,,,,,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.1.png,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0002507999888621,1.0002507999888621,83.183271899994,83.183271899994,83.183271899994,83.183271899994,space,9.342907699989155,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.2.png,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.59992909998982,92.59992909998982,92.59992909998982,92.59992909998982,space,8.526990799990017,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.3.png,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.23181480000494,101.23181480000494,101.23181480000494,101.23181480000494,space,5.709760300000198,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.4.png,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.03204639998148,107.03204639998148,107.03204639998148,107.03204639998148,space,8.39805129999877,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.5.png,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.5159152999986,115.5159152999986,115.5159152999986,115.5159152999986,space,16.625419899995904,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.6.png,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.24857249998604,132.24857249998604,132.24857249998604,132.24857249998604,space,9.086094199999934,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.7.png,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.415932599979,141.415932599979,141.415932599979,141.415932599979,space,12.02237629998126,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.8.png,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.53209170000628,153.53209170000628,153.53209170000628,153.53209170000628,space,7.129893200006336,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.9.png,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.76597159999073,160.76597159999073,160.76597159999073,160.76597159999073,space,5.816258000006201,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.10.png,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.68311650000396,166.68311650000396,166.68311650000396,166.68311650000396,space,7.2589524000068195,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.11.png,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0325852999813,174.0325852999813,174.0325852999813,174.0325852999813,space,11.621571499999845,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.12.png,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.7496390999877,185.7496390999877,185.7496390999877,185.7496390999877,space,8.04120619999594,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.13.png,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.88231739998446,193.88231739998446,193.88231739998446,193.88231739998446,space,6.699913300020853,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.14.png,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.66592909998144,200.66592909998144,200.66592909998144,200.66592909998144,space,2.483990199980326,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.15.png,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.2495352999831,203.2495352999831,203.2495352999831,203.2495352999831,space,4.6207492999965325,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.16.png,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.98272420000285,207.98272420000285,207.98272420000285,207.98272420000285,space,3.1830063000088558,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
,,,,images/21.17.png,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.24819369998295,211.24819369998295,211.24819369998295,211.24819369998295,space,2.470690799993463,,001,2023-01-19_13h23.17.335,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,59.2718688004572,
